RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT,RACE_TEXT,ECON1MOD_LLM,UNITY_LLM,GPT1_LLM,MOREGUNIMPACT_LLM,GAMBLERESTR_LLM
26.0,2.0,1.0,1.0,,,20240513,1.0,10.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,99.0,4.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,4.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,9.0,1.0,0.7767369010201741,0.4995135070466759,"Not Hispanic, White",2,2,2,2,
28.0,1.0,1.0,1.0,1.0,20240211.0,20240211,1.0,10.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,99.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.0,4.0,1.0,1.0,1.0,99.0,99.0,2.0,1.0,99.0,99.0,3.0,5.0,1.0,0.7767369010201741,0.252874199219131,"Not Hispanic, White",2,2,2,2,2
30.0,1.0,1.0,1.0,1.0,20240206.0,20240206,1.0,9.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,2.0,6.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,,9.0,3.0,6.0,2.0,0.4462133845203579,0.1783530617532558,"Not Hispanic, White",2,2,2,2,2
32.0,2.0,1.0,1.0,,,20240430,1.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,12.0,3.0,2.0,6.0,6.0,3.0,2.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,7.0,1.0,0.8759496885461502,0.6520931635218166,"Not Hispanic, White",2,2,2,2,2
33.0,1.0,2.0,1.0,2.0,20240316.0,20240317,1.0,8.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,6.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,20.0,1.0,4.0,2.0,6.0,3.0,3.0,5.0,2.0,,1.0,1.0,2.0,1.0,0.6764678031944705,3.4917926021853347,"Hispanic, Other",2,2,1,1,2
34.0,2.0,1.0,,,,20240429,1.0,10.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.0,3.0,1.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,9.0,3.0,5.0,1.0,2.3302107030605224,1.1101121147465272,"Not Hispanic, White",2,2,2,2,2
37.0,2.0,1.0,,,,20240430,1.0,10.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,3.0,1.0,2.0,3.0,7.0,1.0,1.0,1.0,2.0,9.0,3.0,5.0,1.0,0.7767369010201741,0.6479570950049143,"Not Hispanic, White",2,2,2,1,2
39.0,1.0,1.0,1.0,1.0,20240206.0,20240206,1.0,10.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,3.0,2.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,4.0,1.0,2.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,8.0,1.0,0.388368450510087,0.1898311004827,"Not Hispanic, White",2,2,2,2,2
42.0,1.0,1.0,1.0,1.0,20240324.0,20240324,1.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,3.0,2.0,5.0,6.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,2.0,1.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,8.0,2.0,3.0,1.0,1.1651053515302612,0.6841194798517809,"Not Hispanic, White",2,2,2,1,2
47.0,2.0,1.0,,,,20240520,1.0,10.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,3.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,9.0,4.0,8.0,1.0,2.3302107030605224,1.2186218666542858,"Not Hispanic, White",2,2,1,2,2
50.0,1.0,1.0,1.0,1.0,20240207.0,20240207,1.0,10.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,5.0,9.0,2.0,4.0,1.0,0.7767369010201741,0.589111711845089,"Not Hispanic, White",2,2,2,1,2
55.0,1.0,1.0,1.0,1.0,20240207.0,20240207,1.0,10.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,6.0,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.388368450510087,0.2135726174037414,"Not Hispanic, White",2,2,2,2,2
59.0,1.0,1.0,1.0,1.0,20240324.0,20240324,1.0,10.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,3.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,9.0,3.0,5.0,1.0,0.7767369010201741,0.3843564230448429,"Not Hispanic, White",2,2,2,2,2
60.0,1.0,1.0,1.0,1.0,20240210.0,20240210,1.0,10.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,2.0,5.0,6.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,,3.0,1.0,2.0,1.0,1.1651053515302612,1.9161835116792516,"Not Hispanic, White",2,2,2,2,2
63.0,2.0,1.0,,,,20240306,1.0,10.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.5534738020403482,1.6161517960703449,"Not Hispanic, White",2,2,2,2,2
68.0,2.0,1.0,,,,20240429,1.0,10.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,0.7767369010201741,0.7445408525258799,"Not Hispanic, White",2,2,2,2,2
72.0,1.0,1.0,1.0,1.0,20240209.0,20240209,1.0,10.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,12.0,3.0,2.0,6.0,6.0,4.0,7.0,1.0,3.0,99.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,49.0,2.0,4.0,3.0,3.0,7.0,1.0,2.0,2.0,,6.0,1.0,1.0,1.0,0.7767369010201741,0.6057320916124422,"Not Hispanic, Other",2,2,1,1,2
75.0,1.0,1.0,1.0,1.0,20240208.0,20240208,1.0,6.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,,7.0,1.0,2.0,1.0,0.8669544178160234,1.3040510805301433,"Not Hispanic, White",2,2,2,2,2
79.0,1.0,1.0,1.0,1.0,20240217.0,20240217,1.0,10.0,4.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,6.0,3.0,6.0,1.0,2.0,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,2.0,3.0,3.0,7.0,1.0,0.7767369010201741,0.7823881404931047,"Not Hispanic, Black",2,2,2,1,2
80.0,2.0,1.0,,,,20240429,1.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,85.0,4.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,0.9260516426129688,0.4947668230914985,"Not Hispanic, American Indian or Alaska Native",2,2,2,2,2
85.0,2.0,1.0,1.0,,,20240528,1.0,9.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,,,,1.0,3.0,99.0,,2.0,1.0,1.0,1.0,5.0,6.0,2.0,6.0,2.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.0,3.0,1.0,1.0,6.0,3.0,3.0,1.0,2.0,,1.0,3.0,7.0,2.0,0.8924267690407158,2.351342619620053,"Not Hispanic, White",2,2,2,2,2
87.0,2.0,1.0,,,,20240425,1.0,6.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,45.0,2.0,1.0,1.0,6.0,3.0,3.0,2.0,2.0,,1.0,4.0,8.0,1.0,1.733908835632047,4.857406208319696,"Hispanic, Other",2,2,2,2,2
97.0,1.0,1.0,1.0,2.0,20240318.0,20240318,1.0,7.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,12.0,3.0,2.0,6.0,6.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,70.0,4.0,4.0,1.0,5.0,3.0,3.0,1.0,2.0,,1.0,4.0,8.0,1.0,0.0641500952167566,0.1172774256013389,"Hispanic, Other",2,2,2,2,2
98.0,2.0,1.0,,,,20240513,1.0,7.0,4.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,71.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,9.0,1.0,0.3849005713005398,0.1661933581600372,"Hispanic, Other",2,2,2,2,2
103.0,3.0,1.0,1.0,,20240322.0,20240322,1.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,61.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,0.1101502994668731,0.1242872582736141,"Not Hispanic, Black",2,2,2,1,2
107.0,2.0,1.0,,,,20240514,1.0,10.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,2.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.5534738020403482,1.0079705765095246,"Not Hispanic, White",2,2,1,1,2
108.0,2.0,1.0,,,,20240513,1.0,10.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,99.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,45.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,,1.0,3.0,6.0,2.0,0.7767369010201741,0.5944511444477987,"Hispanic, Black",2,2,2,1,2
